XPT,YPT,ZPT,Gold,Copper,Rock,NoSample
84,30,0,562,85.30000305,2,433
84,41,0,411.3999939,34,2,434
75,40,0,696.7000122,356.2000122,2,435
73,141,0,790.9000244,607.2999878,2,436
63,140,0,696.5,357.7999878,2,437
84,138,0,687.2999878,893.4000244,2,438
76,159,0,597.5,997.2999878,2,439
84,161,0,437.3999939,387.2000122,2,440
86,169,0,317.3999939,761.7000122,2,441
73,199,0,470.7000122,5190.100098,2,442
76,51,0,498.7000122,101.8000031,2,443
94,61,0,778.7000122,1354,2,444
85,60,0,523.2999878,117.5,2,445
104,38,0,617.0999756,200.199997,2,446
93,41,0,395.2999878,28.39999962,2,447
75,90,0,518.9000244,113,2,448
94,101,0,383.7000122,12.89999962,2,449
85,100,0,704.0999756,126,2,450
104,109,0,562.2999878,908.5999756,2,451
75,110,0,655.2999878,349,2,452
95,121,0,823.5999756,548.4000244,2,453
83,119,0,847.7000122,701.4000244,2,454
94,140,0,607.5,723.2000122,2,455
103,139,0,491.2000122,565.2999878,2,456
114,120,0,319.5,154.199997,2,457
104,118,0,594,289.2000122,2,458
196,91,0,433.5,254.1000061,2,459
215,101,0,209.6000061,4,2,460
204,101,0,533.7999878,127.3000031,2,461
196,101,0,592.4000244,419.1000061,2,462
195,149,0,478.7000122,141.8999939,2,463
216,11,0,660.2000122,1424.800049,2,464
225,19,0,832.2000122,512.2000122,2,465
214,19,0,242.5,15.60000038,2,466
245,231,0,161.199997,26.10000038,2,467
233,220,0,626,959.7000122,2,468
226,221,0,800.0999756,1681.5,2,469
213,218,0,482.6000061,476.2000122,2,470
